"id","param","quantity","unit","value","tolerance","photo_ref","notes"
"M-20.5","","rear bracket at X -27.76, L +16.50: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.6","","free single (belt side) at X -39.99, L -32.86: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.7","","free single (mirror side) at X -39.94, L +17.14: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.8","","centreline pedestal candidate at X +57.50, L 0: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.9","","centreline pedestal candidate at X +64.24, L 0: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-28.1","","Servoholder PRINTED arch: clear opening length","mm","","±0.2","","Mesh figure is 42.0. Servo face measured 40.25 -> ~1.75 mm clearance."
"M-28.2","","Servoholder PRINTED arch: clear opening height","mm","","±0.2","","Mesh figure is 18.5. Servo face measured 20.2 -> ~1.7 mm INTERFERENCE, as predicted."
"M-28.3","","Does the DS3235SG enter side-on WITHOUT FORCE?","pass/fail","","-","","PHOTO REQUIRED — the servo offered to the arch, plus a close-up of the binding point. STOP if it binds. Do not file, force or heat. A test-grade print can bind from layer swell alone; the fix is production tolerance or a measured CAD relief. OP-B / Gate D residual — this gates the whole floor print batch."
"M-28.4","","If it binds: exactly WHERE","text","","-","","The location is the CAD input."
"M-28.5","","Shaft-centre orientation used (boss-forward X-46.76 vs reversed X-66.76)","text","","-","","Still unpinned; record which you used."
"M-29.1","","Steering Block4 king-pin bore diameter, side 1","mm","","±0.1","","D-05; M3x30 dowel fit. Outside 3.0 +0.15/-0.05 = a reprint tolerance change, decided in CAD."
"M-29.2","","Steering Block4 king-pin bore diameter, side 2","mm","","±0.1","","D-05."
"M-30.1","","Front hub (original RIGHT): bearing seat diameter for 8x12x3.5","mm","","±0.1","","D-22 baseline."
"M-30.2","","Front hub (Bambu-MIRRORED left): bearing seat diameter","mm","","±0.1","","D-22 — the left hub exists only as a mirror. Off by > 0.1 = tolerance pass before the wheel print."
"M-02a.1","","Steering rod LOWEST Z at forward, X ~ +40, swept lock-to-lock and through bump (datum DAT-F)","mm","","±2","","PHOTO REQUIRED — both locks, photographed from the same place. PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02a.min. Provisional band is Z 22..38 at |L| <= 22, with the PDB 8.00 mm below it and ZERO reserve."
"M-02a.2","","Steering rod LOWEST Z at middle, X ~ 0, swept lock-to-lock and through bump (datum DAT-F)","mm","","±2","","PHOTO REQUIRED — both locks, photographed from the same place. PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02a.min. Provisional band is Z 22..38 at |L| <= 22, with the PDB 8.00 mm below it and ZERO reserve."
"M-02a.3","","Steering rod LOWEST Z at rear, X ~ -40, swept lock-to-lock and through bump (datum DAT-F)","mm","","±2","","PHOTO REQUIRED — both locks, photographed from the same place. PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02a.min. Provisional band is Z 22..38 at |L| <= 22, with the PDB 8.00 mm below it and ZERO reserve."
"M-02a.min","ko01_z_lo","LOWEST Z of the three M-02a readings = min(M-02a.1, M-02a.2, M-02a.3). Write the arithmetic","mm","","±2","","ko01_z_lo — the single defining cell. One row per parameter: the three station readings above are register-only."
"M-02b.1","","Steering rod HIGHEST Z at forward, X ~ +40","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02b.max."
"M-02b.2","","Steering rod HIGHEST Z at middle, X ~ 0","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02b.max."
"M-02b.3","","Steering rod HIGHEST Z at rear, X ~ -40","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02b.max."
"M-02b.max","ko01_z_hi","HIGHEST Z of the three M-02b readings = max(M-02b.1, M-02b.2, M-02b.3)","mm","","±2","","ko01_z_hi — the single defining cell."
"M-02c.1","","Max |L| the rod reaches at forward, X ~ +40","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02c.max."
"M-02c.2","","Max |L| the rod reaches at middle, X ~ 0","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02c.max."
"M-02c.3","","Max |L| the rod reaches at rear, X ~ -40","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. DO NOT ENTER INTO SCAD — register-only. Feeds M-02c.max."
"M-02c.max","ko01_l_half","GREATEST |L| of the three M-02c readings = max(M-02c.1, M-02c.2, M-02c.3)","mm","","±2","","ko01_l_half — the single defining cell."
"M-02d.1","ko01_x_hi","Most FORWARD X reached by any swept point of the rod (+X is toward the nose)","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. ko01_x_hi. NEW ROW: section 9 lists ko01_x_lo/x_hi under M-02 but the prompt's M-02 table has no cell for them."
"M-02d.2","ko01_x_lo","Most REARWARD X reached by any swept point of the rod","mm","","±2","","PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. ko01_x_lo. Same note."
"M-02e","","Does anything ALREADY FITTED enter that envelope? List every item and where","text","","-","","PHOTO REQUIRED — anything found inside the envelope. PRECONDITION: M-02a-e need the FRONT END ASSEMBLED — steering blocks, king pins, rod ends and front shocks fitted — and the chassis blocked up on the floor pan so the wheels hang free and the suspension is unloaded. If it is not, write 'could not — front end not assembled'. DO NOT sweep a partly-assembled rod. KO-01 / KO-11 / KO-36. STOP-READ: measured z_lo < 22 or l_half > 22 shrinks the guard band (ko01_z_guard 14, ko01_l_guard 30) and drives the PDB's already-negative-by-5mm gap further negative. Report; do not re-derive the cage at the bench."
"M-01.1","","S0 — shell bottom edge above floor top (DAT-F) at: forward, BELT side (L-). Shell seated and only LIGHTLY pressed","mm","","±0.5","","PHOTO REQUIRED — the gauge in place at one point, showing the seating. DO NOT ENTER INTO SCAD — register-only. Feeds M-01.worst and M-01.6. Coupon C-4 steps run 2..11 mm: read the tallest step that still passes; below the 2 mm step, write 'below the lowest step' — a real and serious answer. Record ALL readings, not the smallest."
"M-01.2","","S0 — shell bottom edge above floor top (DAT-F) at: forward, MIRROR side (L+). Shell seated and only LIGHTLY pressed","mm","","±0.5","","PHOTO REQUIRED — the gauge in place at one point, showing the seating. DO NOT ENTER INTO SCAD — register-only. Feeds M-01.worst and M-01.6. Coupon C-4 steps run 2..11 mm: read the tallest step that still passes; below the 2 mm step, write 'below the lowest step' — a real and serious answer. Record ALL readings, not the smallest."
"M-01.3","","S0 — shell bottom edge above floor top (DAT-F) at: rear, BELT side (L-). Shell seated and only LIGHTLY pressed","mm","","±0.5","","PHOTO REQUIRED — the gauge in place at one point, showing the seating. DO NOT ENTER INTO SCAD — register-only. Feeds M-01.worst and M-01.6. Coupon C-4 steps run 2..11 mm: read the tallest step that still passes; below the 2 mm step, write 'below the lowest step' — a real and serious answer. Record ALL readings, not the smallest."
"M-01.4","","S0 — shell bottom edge above floor top (DAT-F) at: rear, MIRROR side (L+). Shell seated and only LIGHTLY pressed","mm","","±0.5","","PHOTO REQUIRED — the gauge in place at one point, showing the seating. DO NOT ENTER INTO SCAD — register-only. Feeds M-01.worst and M-01.6. Coupon C-4 steps run 2..11 mm: read the tallest step that still passes; below the 2 mm step, write 'below the lowest step' — a real and serious answer. Record ALL readings, not the smallest."
"M-01.5","","S0 — shell bottom edge above floor top (DAT-F) at: OPTIONAL: over the cassette, either side. Shell seated and only LIGHTLY pressed","mm","","±0.5","","PHOTO REQUIRED — the gauge in place at one point, showing the seating. DO NOT ENTER INTO SCAD — register-only. Feeds M-01.worst and M-01.6. Coupon C-4 steps run 2..11 mm: read the tallest step that still passes; below the 2 mm step, write 'below the lowest step' — a real and serious answer. Record ALL readings, not the smallest."
"M-01.worst","s0_measured","S0 WORST (smallest) of the M-01 readings. Write which point it came from","mm","","±0.5","","s0_measured — the single defining cell. The cage's gate is the WORST point, not an average. STOP if < 9.82: do NOT shave the cage; reopen board orientation (a production stop ZK already demands)."
"M-01.6","","S0 SPREAD = max reading minus min reading (derived at the bench)","mm","","±0.5","","DO NOT ENTER INTO SCAD — register-only. STOP-READ: S0 is bounded 0..~11. > 11 = re-check the datum. Spread > 1.0 = the shell does not sit flat, a DIFFERENT problem from sitting low, and the cage cares about both."
"M-07.1b","","Clear height above DAT-F at X +3, BELT side (L-), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. This is a SHELL-INTERIOR CLEAR HEIGHT, not guide_top_z."
"M-07.2b","","Clear height above DAT-F at X +20, BELT side (L-), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. This is a SHELL-INTERIOR CLEAR HEIGHT, not guide_top_z."
"M-07.3b","","Clear height above DAT-F at X +42, BELT side (L-), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. This is a SHELL-INTERIOR CLEAR HEIGHT, not guide_top_z."
"M-07.1m","","Clear height above DAT-F at X +3, MIRROR side (L+), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. The WORST value must agree with M-01 plus the modelled roof (27.18 at X+3 / L-37). If it does not, ONE OF THE TWO IS WRONG — say which you trust and why, at the bench."
"M-07.2m","","Clear height above DAT-F at X +20, MIRROR side (L+), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. The WORST value must agree with M-01 plus the modelled roof (27.18 at X+3 / L-37). If it does not, ONE OF THE TWO IS WRONG — say which you trust and why, at the bench."
"M-07.3m","","Clear height above DAT-F at X +42, MIRROR side (L+), across |L| 27..46, shell seated","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. Feeds M-07.worst. The WORST value must agree with M-01 plus the modelled roof (27.18 at X+3 / L-37). If it does not, ONE OF THE TWO IS WRONG — say which you trust and why, at the bench."
"M-07.worst","","WORST (smallest) of the six M-07 clear heights. Write which cell it came from","mm","","±1","","DO NOT ENTER INTO SCAD — register-only. This is the BOUND on the aft end guide, NOT guide_top_z itself. guide_top_z (30.0) is a cage DESIGN OUTPUT constrained by assert(guide_top_z <= board_top_z) with board_top_z = 32.0 (w17_params.scad:149,201,397); a clear height read under a seated shell is ~S0 + roof and will normally exceed 32, so entering it directly would fire that assert for the wrong reason. Report this number; guide_top_z is set in CAD from it, and guide_top_margin (DERIVED = board_top_z - guide_top_z, w17_params.scad:202) MUST be recomputed in the same edit."
"M-11e.1","","ESC candidate station 1: where it is (X, L) and how much OPEN AIR is above the fan intake, body seated","mm + coords","","±0.5","","PHOTO REQUIRED — the candidate with the ESC dry-placed (not fixed). OP-A / KO-20 / CAS-06. Policy wants 10 mm above the fan = a plane at Z 45.5 with the measured 34.0 body, and NO registered shell station supplies it even at S0 = 11. This row is looking for a home, not confirming one. If none of the three works, say so; the decision is the owner's."
"M-11e.2","","ESC candidate station 2: where it is (X, L) and how much OPEN AIR is above the fan intake, body seated","mm + coords","","±0.5","","PHOTO REQUIRED — the candidate with the ESC dry-placed (not fixed). OP-A / KO-20 / CAS-06. Policy wants 10 mm above the fan = a plane at Z 45.5 with the measured 34.0 body, and NO registered shell station supplies it even at S0 = 11. This row is looking for a home, not confirming one. If none of the three works, say so; the decision is the owner's."
"M-11e.3","","ESC candidate station 3: where it is (X, L) and how much OPEN AIR is above the fan intake, body seated","mm + coords","","±0.5","","PHOTO REQUIRED — the candidate with the ESC dry-placed (not fixed). OP-A / KO-20 / CAS-06. Policy wants 10 mm above the fan = a plane at Z 45.5 with the measured 34.0 body, and NO registered shell station supplies it even at S0 = 11. This row is looking for a home, not confirming one. If none of the three works, say so; the decision is the owner's."
"M-12.1","flap_wall","CF-1 (side vent aperture in the shell, vent part removed): shell wall thickness","mm","","±0.5","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. flap_wall."
"M-12.2w","flap_open_w","CF-1: clear opening WIDTH of the existing shell aperture","mm","","±0.5","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. flap_open_w (16.0 ASSUMED). NEW CELL — M-12 previously asked only for wall thickness and depth, so the two opening parameters it is supposed to retire had no cell."
"M-12.2h","flap_open_h","CF-1: clear opening HEIGHT of the existing shell aperture","mm","","±0.5","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. flap_open_h (11.0 ASSUMED). NEW CELL, same reason."
"M-12.2d","","CF-1: local depth behind the shell inner face","mm","","±0.5","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. DO NOT ENTER INTO SCAD — register-only. Charge-cell depth budget behind the flap."
"M-12.3","","CF-1: what is behind it","text","","-","","PHOTO REQUIRED — behind the candidate. SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. OP-F."
"M-12.4","","CF-2 (floor opening at X +39.18, |L| 55.71): wall thickness","mm","","±0.5","","DO NOT ENTER INTO SCAD — register-only. CF-2 is the alternative candidate; only the chosen one sets flap_*."
"M-12.5","","CF-2: local depth behind","mm","","±0.5","","DO NOT ENTER INTO SCAD — register-only. "
"M-12.6","","CF-2: what is behind it","text","","-","","PHOTO REQUIRED — behind the candidate. NO CUT IS AUTHORISED BY THIS ROW. It exists so the CF-1/CF-2 decision is made against numbers instead of preference; the shell stays unmodified."
"M-15.1w","vent_w","Side-vent PART in hand: clear opening WIDTH","mm","","±0.2","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. vent_w. WARNING: the 13.1 currently in w17_params.scad is the FLOOR SLOT, not the shell vent. Nobody has measured the vent."
"M-15.1h","vent_h","Side-vent PART in hand: clear opening HEIGHT","mm","","±0.2","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. vent_h. Same warning: 10.3 is the floor slot."
"M-15.1d","","Side-vent PART: internal depth","mm","","±0.2","","SCOPE: M-12 is taken on the SHELL, with the side-vent part REMOVED. M-15 is taken on the vent PART, in hand. They are not the same opening measured twice. DO NOT ENTER INTO SCAD — register-only. Insert depth available for a reversible flap."
"M-15.2","","Side-vent PART: how it mounts to the shell","text","","-","","CF-1 reversibility."
"M-15.3","","Side-vent PART: visible face dimensions","mm","","±0.2","","DO NOT ENTER INTO SCAD — register-only. Cosmetic cost of an integrated flap."
"M-10","","Tyre arch clearance at full steer / full bump / both, four corners, body on","-","","-","","BLOCKED — Tamiya tyres in transit. Registered margins are 3.5 and 4 mm, ALREADY below policy (E-30): this row is looking for a problem that is probably there."
"M-14a.1","","Wing DRS pocket: internal length (datum: pocket floor)","mm","","±0.2","","STOP if the MG90S will not enter without distorting the pocket."
"M-14a.2","","Wing DRS pocket: internal width","mm","","±0.2","",""
"M-14a.3","","Wing DRS pocket: internal height","mm","","±0.2","",""
"M-14a.4","","Wing DRS pocket: wall thickness","mm","","±0.2","",""
"M-14d.1","","DRS arm: PIVOT-TO-PIVOT spacing (hole centre to hole centre)","mm","","±0.2","","PHOTO REQUIRED — the arm with the caliper across the two pivots. DO NOT ENTER INTO SCAD — register-only. drs_arm_pivot_span is deliberately undef with assert(is_undef(...)) at w17_params.scad:405 that fires if anyone gives it a value. THIS ROW IS THE ONLY THING THAT MAY SET IT, and setting it is an explicit CAD edit that removes the assert — never a tool patch. The 58 mm in the inventory is a RAW BOUNDING BOX, not a pivot span."
"M-14d.2","","DRS arm: driving hole diameter","mm","","±0.2","",""
"M-14d.3","","DRS arm: driven hole diameter","mm","","±0.2","",""
"M-14e.1","","Flap hinge axis position (datum: hinge line, referenced to the wing datum)","mm","","±0.5","","Four-bar geometry."
"M-14e.2","","Perpendicular distance, hinge axis to the arm's driven pivot","mm","","±0.5","","Four-bar geometry."
"M-14f.1","","Flap CLOSED angle wanted (chord vs wing datum)","deg","","±2","","DRS throw."
"M-14f.2","","Flap OPEN angle wanted","deg","","±2","","DRS throw."
"M-14g2","","Rod length required between rod-end centres","mm","","±0.2","","STOP if the linkage PRELOADS the flap at either end."
"M-14h.1","","Nearest approach of the swept arm to the 68 mm shock AT FULL COMPRESSION","mm","","±1","","KO-25 wants >= 8 mm. The wing sits directly above the shock's territory."
"M-14h.2","","Nearest approach of the swept arm to the LED tail","mm","","±1","","KO-25 / KO-29."
"M-14h.3","","Nearest approach of the swept arm to the body inner","mm","","±1","","KO-25."
"M-14i","","Servo neutral orientation that puts the rod straight at flap-closed: mark horn and case","text","","-","","PHOTO REQUIRED — the horn at neutral, mark visible. STOP if a WIRE becomes the hard stop, an ear needs drilling, or the horn hits the wing."
"M-18b","spk_port_d","Sidepod port aperture you actually want (datum: vent face)","mm","","±0.2","","spk_port_d (22.0 ASSUMED). This is a DECISION recorded as a number, not a discovered measurement — write down what you chose and why."
"M-19a.1","","Hall carrier surface at the rear axle: what the sensor can be mounted to","text","","-","","PHOTO REQUIRED — the candidate surface with the sensor offered to it. PS-16 / D-38. If no carrier surface exists, the bracket becomes a new part."
"M-19a.2","","Hall carrier surface: its extent (L x W)","mm","","±0.5","",""
"M-19a.3","","Hall carrier surface: distance to the axle centreline","mm","","±0.5","",""
"M-19b","","Collar runout — how much the magnet face moves per revolution","-","","-","","BLOCKED — magnets in transit. Use a NON-MAGNETIC gauge when it runs."
"M-19c","hall_gap","Sensor-to-magnet gap actually achievable (target 1.5 inside a 1-3 mm band)","-","","-","","BLOCKED — magnets in transit, so this cell stays EMPTY and hall_gap stays ASSUMED. NON-MAGNETIC gauge only: a steel gauge next to a Hall sensor and a magnet tells you about the gauge."
"M-19d","","Can the Hall lead be routed AWAY from the ESC and motor phase leads (no parallel run, 90 deg crossing if it must cross) and kept short with its pull-up near the board?","pass/fail","","-","","PHOTO REQUIRED — the intended route. GPIO35's interrupt has NO RATE BOUND and GPIO34-39 have NO internal pull-ups: a noisy Hall line CANNOT be rescued in software. FAIL = a design problem to report now, not a wiring-day problem."
